"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-21","0.00",,"64","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-22","0.00",,"61","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-23","0.00",,"64","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-24","0.00",,"65","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-25","0.00",,"62","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-26","0.00",,"65","33"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-27","0.00",,"77","34"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-28","0.00",,"84","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-29","0.00",,"75","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-30","0.00",,"70","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-01","0.00",,"76","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-02","0.00",,"82","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-03","0.00",,"93","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-04","0.00",,"85","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-05","0.00",,"81","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-06","0.00",,"75","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-07","0.00",,"77","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-08","0.00",,"92","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-09","0.00",,"86","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-10","0.00",,"94","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-11","0.00",,"78","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-12","0.00",,"73","43"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-13","0.00",,"67","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-14","0.00",,"66","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-15","0.00",,"63","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-16","0.00",,"65","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-17","0.00",,"68","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-18","0.00",,"80","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-19","0.00",,"72","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-20","0.03",,"71","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-21","0.00",,"74","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-22","0.00",,"75","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-23","0.00",,"69","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-24","0.00",,"77","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-25","0.00",,"77","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-26","0.00",,"74","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-27","0.00",,"80","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-28","0.00",,"70","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-29","0.00",,"69","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-30","0.00",,"80","53"
